,Player,Pos,Tm,GP,GS,MPG,PPG,RPG,APG,SPG,BPG,TPG,FPG,FG,FGA,3P,3PA,FT,FTA,TS%,PRF
318,Malachi Flynn,PG,TOR,4,0,16,4.5,1.2,2.0,0.5,0.2,0.8,1.0,6,16,3,8,3,4,51.0,6.599999999999999
319,Malaki Branham,SG,SAS,4,1,22,8.2,1.0,1.8,1.0,0.0,1.0,1.2,15,43,0,16,3,4,37.0,9.8
320,Malcolm Brogdon,PG,POR,1,1,24,19.0,1.0,5.0,0.0,0.0,2.0,2.0,6,14,4,5,3,4,60.0,21.0
321,Malcolm Cazalon,SG,DET,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
322,Malik Beasley,SG,MIL,6,6,30,11.7,5.3,1.5,0.0,0.5,0.3,2.7,26,53,18,37,0,0,66.0,16.0
323,Malik Monk,SG,SAC,5,0,28,18.2,2.8,4.4,1.2,0.2,2.4,2.0,33,66,19,36,6,6,66.0,22.4
324,MarJon Beauchamp,SF,MIL,5,0,14,5.4,3.4,1.2,0.2,0.2,0.2,1.8,9,19,5,9,4,9,59.0,8.399999999999999
325,Marcus Morris,PF,PHI,3,0,8,0.7,1.7,0.3,0.0,0.0,0.0,1.3,1,4,0,2,0,0,26.0,1.3999999999999997
326,Marcus Sasser,PG,DET,4,0,15,3.8,1.0,1.2,0.0,0.0,0.0,1.2,5,23,1,12,4,4,31.0,4.8
327,Marcus Smart,PG,MEM,4,4,28,7.8,1.5,2.5,1.0,0.5,2.2,2.2,11,36,2,18,7,7,40.0,8.900000000000002
328,Mark Williams,C,CHO,4,4,27,13.8,14.8,1.2,0.8,0.0,0.0,1.2,24,42,0,0,7,12,58.0,29.400000000000002
329,Markieff Morris,PF,DAL,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
330,Marques Bolden,C,MIL,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.5
331,Marvin Bagley III,C,DET,4,2,18,10.5,6.2,1.2,0.2,1.2,1.8,1.2,18,27,0,0,6,6,71.0,16.299999999999997
332,Matisse Thybulle,SF,POR,3,0,22,3.7,2.7,0.7,1.0,0.3,0.7,1.0,4,10,3,9,0,0,56.0,6.700000000000002
333,Matt Ryan,SF,NOP,3,0,18,5.0,1.3,0.0,0.7,0.0,0.3,0.7,5,15,5,11,0,1,49.0,6.0
334,Max Christie,SG,LAL,5,0,10,3.5,1.5,1.0,0.5,0.2,0.3,0.8,9,18,3,9,0,2,46.0,5.6000000000000005
335,Max Strus,SF,CLE,5,5,38,15.0,3.6,3.4,1.8,1.0,1.2,2.2,27,62,14,36,7,10,56.0,21.400000000000002
336,Maxwell Lewis,SF,LAL,3,0,3,0.6,0.2,0.2,0.0,0.0,0.2,0.0,1,5,1,2,0,0,18.0,0.8
337,Michael Porter Jr.,SF,DEN,4,4,34,16.5,8.0,0.5,0.5,1.2,1.0,2.2,28,57,10,30,0,3,57.0,23.5
338,Mikal Bridges,SF,BRK,4,4,32,18.8,5.5,3.2,1.0,0.0,3.2,1.8,30,62,8,22,7,9,57.0,23.5
339,Mike Conley,PG,MIN,4,4,32,9.8,2.5,7.8,1.0,0.0,1.5,1.8,12,34,9,20,6,6,53.0,17.8
340,Mike Muscala,C,WAS,1,0,3,1.2,0.2,0.2,0.0,0.0,0.2,0.2,2,5,1,4,0,0,12.0,1.2
341,Miles Bridges,SF,CHO,2,1,32,15.0,4.5,3.0,2.0,0.5,2.0,1.5,11,25,4,8,4,5,55.0,21.5
342,Miles McBride,PG,NYK,4,0,4,1.6,0.2,0.2,0.2,0.0,0.0,0.4,3,5,2,4,0,0,64.0,1.8000000000000003
343,Mitchell Robinson,C,NYK,5,5,27,3.8,8.8,1.0,1.2,1.6,1.2,2.0,9,20,0,0,1,5,43.0,13.200000000000003
344,Mo Bamba,C,PHI,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
345,Moritz Wagner,C,ORL,4,0,20,14.5,4.2,2.2,0.2,0.2,0.8,2.8,21,31,1,4,15,17,75.0,17.699999999999996
346,Moses Brown,C,POR,1,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.3
347,Moses Moody,SG,GSW,4,1,15,9.8,2.0,1.8,0.5,0.0,0.8,1.0,15,21,7,11,2,4,86.0,12.3
348,Moussa Diabaté,C,LAC,1,0,4,2.8,2.2,0.0,0.0,0.0,0.0,0.8,4,6,0,0,3,4,18.0,4.2
349,Myles Turner,C,IND,6,6,28,20.2,8.5,1.0,1.0,2.7,1.2,3.5,42,80,10,28,27,33,64.0,28.699999999999996
350,Naji Marshall,SF,NOP,5,0,15,7.0,4.2,1.0,0.5,0.3,0.8,0.8,11,27,6,15,14,15,52.0,11.399999999999999
351,Nassir Little,PF,PHO,4,0,12,5.0,2.4,0.6,0.4,0.2,0.4,0.8,8,14,3,7,6,6,60.0,7.3999999999999995
352,Nate Hinton,SG,HOU,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
353,Naz Reid,C,MIN,4,0,19,10.2,3.2,0.5,0.0,1.5,1.2,1.8,17,28,7,13,0,0,73.0,12.399999999999999
354,Neemias Queta,C,BOS,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
355,Nic Claxton,C,BRK,2,2,26,11.5,7.0,0.0,0.5,3.0,0.5,2.5,10,15,0,0,3,6,65.0,19.0
356,Nick Richards,C,CHO,3,0,16,9.0,6.7,0.3,0.7,0.3,1.3,3.0,8,9,0,0,11,14,89.0,12.7
357,Nick Smith Jr.,SG,CHO,3,0,7,3.2,0.8,0.0,0.0,0.2,0.2,0.5,5,12,3,4,0,0,40.0,3.5
358,Nickeil Alexander-Walker,SG,MIN,4,2,22,5.8,1.5,2.0,0.8,0.8,1.0,1.8,8,24,5,17,2,2,47.0,8.100000000000001
359,Nicolas Batum,PF,TOT,1,0,26,3.0,3.0,3.0,1.0,0.0,0.0,4.0,1,2,1,2,0,0,75.0,6.0
360,Nicolas Batum,PF,LAC,1,0,26,3.0,3.0,3.0,1.0,0.0,0.0,4.0,1,2,1,2,0,0,75.0,6.0
361,Nicolas Batum,PF,PHI,1,0,26,3.0,3.0,3.0,1.0,0.0,0.0,4.0,1,2,1,2,0,0,75.0,6.0
362,Nikola Jokić,C,DEN,4,4,37,32.2,16.2,11.0,1.5,0.5,3.8,2.5,46,90,8,25,29,35,61.0,55.10000000000001
363,Nikola Jović,PF,MIA,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
364,Nikola Vučević,C,CHI,4,4,31,10.0,9.8,4.0,0.8,0.2,0.8,2.2,18,48,2,8,2,2,41.0,21.8
365,Norman Powell,SG,LAC,4,0,23,11.0,1.2,1.0,1.0,0.2,0.5,2.2,15,33,7,13,7,8,60.0,11.7
366,OG Anunoby,SF,TOR,3,3,25,11.8,2.5,2.2,0.2,0.8,2.0,1.2,18,34,10,18,1,2,51.0,14.3
367,Obi Toppin,PF,IND,6,5,26,15.8,3.7,2.2,0.2,0.7,0.3,1.8,40,61,8,22,7,10,72.0,20.499999999999996
368,Ochai Agbaji,SG,UTA,4,4,24,7.2,5.5,0.5,0.8,1.5,0.5,2.2,11,24,5,12,2,2,58.0,12.8
369,Olivier Sarr,C,OKC,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
370,Olivier-Maxence Prosper,PF,DAL,3,0,4,1.8,1.0,0.0,0.0,0.0,0.0,0.2,2,5,1,2,2,4,40.0,2.5999999999999996
371,Omer Yurtseven,C,UTA,1,0,4,4.5,1.5,0.2,0.0,0.0,0.0,0.2,8,11,0,1,2,3,18.0,6.0
372,Onyeka Okongwu,C,ATL,4,0,21,8.2,7.2,2.0,0.0,0.5,1.0,2.5,13,25,2,5,5,6,59.0,14.399999999999999
373,Orlando Robinson,C,MIA,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
374,Oscar Tshiebwe,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
375,Oshae Brissett,SF,BOS,2,0,2,0.4,0.6,0.0,0.2,0.0,0.0,0.8,0,3,0,2,2,6,7.0,0.3999999999999999
376,Otto Porter Jr.,SF,TOR,1,0,1,1.7,0.7,0.0,0.0,0.0,0.3,0.3,2,2,1,1,0,0,42.0,1.8
377,Ousmane Dieng,PF,OKC,3,0,4,1.0,1.0,0.7,0.0,0.0,0.3,0.3,1,5,1,4,0,0,30.0,2.1000000000000005
378,P.J. Tucker,PF,TOT,4,0,16,1.5,2.0,0.8,0.2,0.0,0.2,2.5,2,6,2,6,0,0,50.0,1.7999999999999998
379,P.J. Tucker,PF,PHI,4,0,16,1.5,2.0,0.8,0.2,0.0,0.2,2.5,2,6,2,6,0,0,50.0,1.7999999999999998
380,P.J. Tucker,PF,LAC,4,0,16,1.5,2.0,0.8,0.2,0.0,0.2,2.5,2,6,2,6,0,0,50.0,1.7999999999999998
381,P.J. Washington,PF,CHO,4,3,31,14.2,6.8,2.2,0.5,0.2,1.5,2.0,22,51,10,28,3,6,53.0,20.4
382,Paolo Banchero,PF,ORL,4,4,33,20.0,6.5,3.8,0.5,0.8,3.8,2.2,32,65,8,17,8,15,56.0,25.6
383,Pascal Siakam,PF,TOR,4,4,32,18.5,5.2,5.8,0.8,0.0,2.5,2.5,28,56,1,13,17,22,56.0,25.3
384,Pat Connaughton,SF,MIL,4,0,24,5.5,3.5,1.8,0.5,0.0,0.8,0.8,9,23,4,14,0,2,46.0,9.7
385,Patrick Baldwin Jr.,SF,WAS,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
386,Patrick Beverley,PG,PHI,3,0,15,1.3,2.3,1.3,0.0,0.0,0.0,2.7,1,5,0,3,2,2,33.0,2.1999999999999993
387,Patrick Williams,PF,CHI,4,1,20,9.0,4.8,1.2,0.8,0.8,1.8,1.0,14,27,5,9,3,4,63.0,13.8
388,Patty Mills,PG,ATL,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
389,Paul George,PF,LAC,4,4,35,25.0,6.5,2.5,1.5,0.2,2.0,3.0,38,90,13,40,11,12,52.0,30.700000000000003
390,Paul Reed,C,PHI,3,0,11,2.0,2.3,0.3,0.0,0.3,0.3,1.7,3,6,0,0,0,0,50.0,2.8999999999999995
391,Payton Pritchard,PG,BOS,5,0,19,6.2,3.6,2.4,0.6,0.0,0.2,0.4,12,34,6,23,1,2,44.0,12.200000000000001
392,Peyton Watson,SF,DEN,4,0,10,2.5,1.8,0.5,0.0,0.8,0.5,1.5,4,12,0,3,2,4,36.0,3.5999999999999996
393,Precious Achiuwa,C,TOR,4,0,16,4.8,6.2,2.5,1.0,0.8,1.8,1.8,7,16,0,5,5,10,47.0,11.7
394,Quentin Grimes,SG,NYK,4,4,22,6.5,1.5,1.2,0.5,0.0,0.5,2.5,9,20,8,17,0,0,65.0,6.699999999999999
395,RJ Barrett,SG,NYK,3,3,23,14.2,4.5,1.0,0.2,0.0,1.5,0.8,17,45,3,13,20,20,40.0,17.599999999999998
396,Rayan Rupert,SG,POR,2,0,2,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0,3,0,0,1,2,13.0,1.5
397,Reggie Bullock,SF,HOU,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
398,Reggie Jackson,PG,DEN,4,3,26,10.5,2.5,3.0,1.0,0.5,3.8,1.5,17,40,3,14,5,8,48.0,12.2
399,Richaun Holmes,C,DAL,2,0,6,2.0,2.5,0.0,0.0,0.0,0.8,1.5,4,7,0,0,0,0,29.0,2.2
400,Robert Covington,SF-PF,TOT,3,2,17,3.7,2.7,1.3,1.7,0.7,0.3,2.0,4,10,3,7,0,0,56.0,7.799999999999999
401,Robert Covington,PF,LAC,3,2,17,3.7,2.7,1.3,1.7,0.7,0.3,2.0,4,10,3,7,0,0,56.0,7.799999999999999
402,Robert Covington,SF,PHI,3,2,17,3.7,2.7,1.3,1.7,0.7,0.3,2.0,4,10,3,7,0,0,56.0,7.799999999999999
403,Robin Lopez,C,MIL,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0.0,0.0
404,Royce O'Neale,SF,BRK,4,1,30,10.8,4.8,4.2,0.5,0.8,0.8,4.0,14,31,14,30,1,2,68.0,16.3
405,Rudy Gobert,C,MIN,4,4,35,12.2,12.5,0.8,0.5,2.2,1.8,3.2,18,36,0,0,13,15,57.0,23.2
406,Rui Hachimura,PF,LAL,6,0,23,11.3,3.3,1.2,0.7,0.2,1.2,2.2,26,51,9,20,7,9,62.0,13.3
407,Russell Westbrook,PG,LAC,4,2,18,8.2,4.5,2.2,1.2,0.2,1.8,1.8,12,40,2,10,7,11,37.0,12.699999999999996
408,Ryan Arcidiacono,PG,NYK,2,0,1,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.6000000000000001
409,Ryan Rollins,PG,WAS,1,0,4,3.5,0.5,1.0,0.0,0.5,0.0,0.5,2,4,1,1,2,3,33.0,5.0
410,Saben Lee,PG,PHO,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
411,Saddiq Bey,SF,ATL,4,1,30,15.5,6.2,2.0,1.2,0.2,0.8,1.2,21,37,8,19,12,17,70.0,23.099999999999998
412,Sam Hauser,SF,BOS,5,0,23,12.0,4.6,1.4,0.2,0.0,0.6,0.8,21,44,17,37,1,2,67.0,16.799999999999997
413,Sam Merrill,SG,CLE,2,0,2,0.4,0.2,0.0,0.2,0.0,0.0,0.2,1,2,0,1,0,0,20.0,0.6000000000000001
414,Sandro Mamukelashvili,C,SAS,1,0,3,1.5,0.8,0.8,0.0,0.0,0.2,0.2,1,2,0,0,4,4,20.0,2.6999999999999993
415,Santi Aldama,PF,MEM,3,1,24,17.0,4.0,1.3,0.0,0.7,1.0,1.0,20,38,7,19,4,7,62.0,21.0
416,Sasha Vezenkov,PF,SAC,4,0,9,3.8,2.2,0.2,0.2,0.4,0.0,1.4,7,19,5,12,0,0,40.0,5.4
417,Scottie Barnes,SG,TOR,4,4,32,14.5,8.0,5.5,1.8,0.8,2.0,2.0,20,54,8,22,10,14,48.0,26.6
418,Seth Curry,SG,DAL,3,0,6,2.0,1.0,0.8,1.0,0.0,0.2,0.5,1,7,1,7,5,6,31.0,4.1
419,Shaedon Sharpe,SG,POR,3,3,37,14.7,6.7,3.0,1.3,0.3,5.7,3.3,14,46,3,20,13,16,42.0,17.0
420,Shai Gilgeous-Alexander,PG,OKC,3,3,33,31.0,5.7,4.7,4.0,1.3,2.3,1.7,37,63,1,7,18,19,65.0,42.7
421,Shake Milton,SG,MIN,4,0,13,4.5,2.5,1.5,0.5,0.5,2.0,2.0,6,16,2,6,4,5,49.0,5.5
422,Shaquille Harrison,SG,MEM,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
423,Sidy Cissoko,SF,SAS,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
424,Simone Fontecchio,SF,UTA,4,0,18,6.2,2.0,0.2,0.5,0.2,0.8,2.2,9,16,7,13,0,0,78.0,6.099999999999997
425,Sir'Jabari Rice,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
426,Skylar Mays,PG,POR,3,2,26,9.0,4.0,7.0,0.7,0.7,1.0,2.0,11,27,5,11,0,0,50.0,18.4
427,Spencer Dinwiddie,PG,BRK,4,4,31,18.5,5.2,7.5,1.5,0.0,1.8,1.2,22,49,13,31,17,20,64.0,29.700000000000003
428,Stanley Umude,SG,DET,3,0,14,6.7,4.0,0.3,0.7,1.0,0.3,2.0,3,6,3,5,11,12,89.0,10.399999999999999
429,Stephen Curry,PG,GSW,3,3,34,31.3,7.0,6.3,1.0,0.3,4.7,2.7,28,55,16,36,22,22,73.0,38.499999999999986
430,Svi Mykhailiuk,SF,BOS,2,0,2,0.0,0.2,0.0,0.0,0.0,0.4,0.2,0,1,0,1,0,0,0.0,-0.4
431,T.J. McConnell,PG,IND,4,0,8,4.0,1.0,2.3,0.7,0.0,0.7,0.7,11,25,0,2,2,3,30.0,6.6
432,Talen Horton-Tucker,PG,UTA,4,0,20,8.0,3.0,4.0,1.0,0.8,1.8,2.5,9,27,4,15,10,10,51.0,12.5
433,Tari Eason,PF,HOU,4,0,18,8.0,6.5,0.2,0.5,1.5,0.8,3.0,14,30,1,5,3,7,48.0,12.899999999999999
434,Taurean Prince,PF,LAL,6,6,29,8.2,1.8,1.0,1.2,0.5,0.8,2.7,17,44,8,28,7,10,51.0,9.2
435,Taylor Hendricks,PF,UTA,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
436,Terance Mann,SG,LAC,4,2,25,4.8,5.0,4.0,0.8,0.5,0.2,3.8,8,16,2,6,1,2,57.0,11.100000000000001
437,Terry Rozier,SG,CHO,1,1,32,11.0,2.0,5.0,1.0,0.0,3.0,0.0,5,16,0,3,1,1,33.0,16.0
438,Terry Taylor,PF,CHI,1,0,1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.2
439,Thaddeus Young,PF,TOR,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
440,Thanasis Antetokounmpo,PF,MIL,2,0,1,0.7,0.2,0.0,0.2,0.0,0.0,0.0,2,2,0,0,0,0,35.0,1.0999999999999999
441,Thomas Bryant,C,MIA,2,0,5,3.2,1.2,0.0,0.0,0.2,0.5,1.0,6,10,0,0,1,2,29.0,3.1000000000000005
442,Théo Maledon,PG,CHO,4,1,11,1.5,2.0,2.2,0.2,0.0,1.2,0.8,2,12,0,4,2,2,23.0,3.9000000000000004
443,Tim Hardaway Jr.,SF,DAL,4,0,24,13.5,1.8,1.5,0.2,0.0,0.8,1.2,18,44,9,30,9,9,56.0,15.0
444,Tobias Harris,PF,PHI,3,3,37,25.0,7.3,3.0,0.7,0.3,1.7,1.7,31,52,5,9,8,9,67.0,32.89999999999999
445,Torrey Craig,SF,CHI,4,1,20,3.5,3.2,1.2,0.8,0.5,0.8,2.2,4,11,3,7,3,4,55.0,6.2
446,Toumani Camara,PF,POR,3,3,33,8.7,5.0,0.3,1.0,1.0,1.3,3.0,8,18,3,12,7,11,57.0,11.7
447,Trae Young,PG,ATL,3,3,35,24.3,1.3,10.3,1.7,0.0,3.3,3.0,21,45,9,22,22,24,66.0,31.30000000000001
448,Trayce Jackson-Davis,PF,GSW,2,0,5,1.3,0.7,1.0,0.0,0.3,1.0,1.0,0,2,0,0,4,4,35.0,1.2999999999999998
449,Tre Jones,PG,SAS,2,0,20,7.5,4.5,3.0,1.5,0.5,1.5,1.0,7,13,1,2,0,0,58.0,14.5
450,Tre Mann,PG,OKC,1,0,2,1.2,0.5,0.5,0.2,0.0,0.2,0.0,2,4,1,3,0,0,15.0,2.2
451,Trendon Watford,PF,BRK,2,0,10,4.0,2.0,0.8,0.0,0.2,0.8,1.2,7,13,0,1,2,2,29.0,5.0
452,Trent Forrest,SG,ATL,2,0,4,0.5,0.2,1.0,0.0,0.0,0.0,0.0,0,2,0,0,2,2,17.0,1.7
453,Trey Lyles,PF,SAC,3,0,20,8.3,4.7,2.0,0.0,0.3,0.7,2.0,6,16,4,13,9,13,57.0,12.600000000000001
454,Trey Murphy III,SF,NOP,2,0,26,15.0,2.5,1.0,0.0,0.5,0.0,1.0,11,26,5,15,3,4,54.0,18.0
455,Tristan Thompson,PF,CLE,3,0,6,1.4,0.8,0.4,0.2,0.2,0.2,0.2,3,4,1,1,0,2,43.0,2.6
456,Troy Brown Jr.,SF,MIN,3,0,14,6.8,3.0,0.2,0.2,0.2,0.2,0.8,9,15,4,10,5,8,55.0,9.399999999999999
457,TyTy Washington Jr.,PG,MIL,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
458,Tyler Herro,SG,MIA,1,1,36,24.0,10.0,9.0,2.0,0.0,3.0,3.0,9,17,4,7,2,2,67.0,39.0
459,Tyrese Haliburton,PG,IND,6,6,36,27.8,5.5,13.7,1.3,0.5,1.8,1.0,57,110,29,65,24,27,68.0,46.0
460,Tyrese Maxey,PG,PHI,3,3,39,25.0,4.7,8.0,1.7,0.7,2.0,2.0,23,55,7,18,22,22,58.0,36.10000000000001
461,Tyus Jones,PG,WAS,4,4,29,14.0,4.0,5.2,0.5,0.2,0.8,0.8,22,38,5,12,7,8,67.0,22.299999999999997
462,Udoka Azubuike,C,PHO,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
463,Usman Garuba,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
464,Vasilije Micić,PG,OKC,2,0,8,3.2,0.5,1.8,0.2,0.0,0.5,0.5,4,9,3,5,2,4,30.0,4.7
465,Victor Wembanyama,PF,SAS,4,4,32,21.5,10.2,2.5,1.0,2.0,4.5,3.0,36,80,6,24,8,10,51.0,29.700000000000003
466,Vince Williams Jr.,SG,MEM,4,0,7,0.6,1.6,0.4,0.0,0.0,0.2,1.0,1,5,1,5,0,0,24.0,1.4
467,Wendell Moore Jr.,SG,MIN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
468,Wesley Matthews,SG,ATL,3,0,8,1.2,1.0,0.8,0.0,0.0,0.2,1.2,1,7,1,7,2,4,21.0,1.5999999999999999
469,Xavier Tillman Sr.,C,MEM,3,0,23,9.0,5.0,2.3,0.7,0.7,0.7,2.3,11,17,3,5,2,3,74.0,14.7
470,Yuta Watanabe,SF,PHO,2,0,8,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2,7,2,5,0,0,29.0,1.0
471,Zach Collins,C,SAS,4,4,30,14.5,6.5,4.2,0.8,0.5,2.8,4.0,23,43,5,18,7,8,62.0,19.7
472,Zach LaVine,SG,CHI,4,4,35,24.0,4.8,3.8,1.2,0.2,2.5,2.8,39,73,9,28,9,11,62.0,28.700000000000006
473,Zeke Nnaji,PF,DEN,4,0,8,1.8,1.8,0.0,0.0,0.0,1.0,0.8,3,6,0,0,1,3,49.0,1.8
474,Ziaire Williams,SF,MEM,4,2,20,6.2,1.8,1.0,0.5,0.8,0.8,2.5,10,26,3,9,2,2,46.0,7.0
475,Zion Williamson,PF,NOP,6,6,30,20.7,5.5,4.3,1.2,0.5,3.8,3.2,50,89,1,4,23,44,57.0,25.200000000000003
